Indication,ComplexityScore,Category,ProjectedMonetaryValue,TextDescription
Temporomandibular Joint Disorder (TMJ),61,Pain/Inflammation,0.2,Temporomandibular Joint Disorder (TMJ) is a disease that is highly complex involving overlapping neural and inflammatory pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Phantom Limb Pain,58,Pain/Inflammation,0.5,Phantom Limb Pain is a disease that is highly complex involving overlapping neural and inflammatory pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Non-small cell lung cancer,80,Cancer,15.0,Non-small cell lung cancer is a very common condition that is extremely complex with many genetic mutations and cellular pathways involved and has a very large market potential due to its high prevalence and unmet needs.
Small cell lung cancer,77,Cancer,5.0,Small cell lung cancer is a common condition that is highly complex with many genetic mutations and cellular pathways involved and has a substantial market opportunity given the number of patients affected.
Breast cancer,87,Cancer,15.0,Breast cancer is a very common condition that is extremely complex with many genetic mutations and cellular pathways involved and has a very large market potential due to its high prevalence and unmet needs.
Colorectal cancer,78,Cancer,12.0,Colorectal cancer is a very common condition that is highly complex with many genetic mutations and cellular pathways involved and has a very large market potential due to its high prevalence and unmet needs.
Prostate cancer,77,Cancer,10.0,Prostate cancer is a very common condition that is highly complex with many genetic mutations and cellular pathways involved and has a very large market potential due to its high prevalence and unmet needs.
Pancreatic cancer,89,Cancer,5.0,Pancreatic cancer is a disease that is extremely complex with many genetic mutations and cellular pathways involved and has a substantial market opportunity given the number of patients affected.
Ovarian cancer,86,Cancer,3.0,Ovarian cancer is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Gastric cancer,75,Cancer,2.0,Gastric cancer is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Liver cancer,79,Cancer,3.0,Liver cancer is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Esophageal cancer,77,Cancer,2.0,Esophageal cancer is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Renal cell carcinoma,74,Cancer,2.0,Renal cell carcinoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Bladder cancer,69,Cancer,2.0,Bladder cancer is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Melanoma,89,Cancer,5.0,Melanoma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and has a substantial market opportunity given the number of patients affected.
Glioblastoma,93,Cancer,5.0,Glioblastoma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and has a substantial market opportunity given the number of patients affected.
Head and Neck cancer,85,Cancer,3.0,Head and Neck cancer is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Cervical cancer,83,Cancer,3.0,Cervical cancer is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Endometrial cancer,73,Cancer,3.0,Endometrial cancer is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Acute Myeloid Leukemia,82,Cancer,3.0,Acute Myeloid Leukemia is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Acute Lymphoblastic Leukemia,71,Cancer,2.0,Acute Lymphoblastic Leukemia is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Chronic Myelogenous Leukemia,65,Cancer,2.0,Chronic Myelogenous Leukemia is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Chronic Lymphocytic Leukemia,68,Cancer,2.0,Chronic Lymphocytic Leukemia is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Non-Hodgkin Lymphoma,81,Cancer,2.0,Non-Hodgkin Lymphoma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Hodgkin Lymphoma,66,Cancer,2.0,Hodgkin Lymphoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Multiple Myeloma,86,Cancer,3.0,Multiple Myeloma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Neuroblastoma,83,Cancer,2.0,Neuroblastoma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Soft Tissue Sarcoma,77,Cancer,2.0,Soft Tissue Sarcoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Osteosarcoma,81,Cancer,2.0,Osteosarcoma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Cholangiocarcinoma,69,Cancer,2.0,Cholangiocarcinoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Thyroid cancer,74,Cancer,2.0,Thyroid cancer is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Medulloblastoma,84,Cancer,2.0,Medulloblastoma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Uveal Melanoma,77,Cancer,2.0,Uveal Melanoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Mesothelioma,69,Cancer,2.0,Mesothelioma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Waldenstrom Macroglobulinemia,85,Cancer,0.5,Waldenstrom Macroglobulinemia is a rare disorder that is extremely complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Mantle Cell Lymphoma,79,Cancer,0.5,Mantle Cell Lymphoma is a rare disorder that is highly complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Diffuse Large B-Cell Lymphoma,73,Cancer,1.0,Diffuse Large B-Cell Lymphoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Follicular Lymphoma,66,Cancer,0.5,Follicular Lymphoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Myelodysplastic Syndromes (MDS),85,Cancer,0.5,Myelodysplastic Syndromes (MDS) is a rare disorder that is extremely complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Myelofibrosis,77,Cancer,0.5,Myelofibrosis is a rare disorder that is highly complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Polycythemia Vera,71,Cancer,0.3,Polycythemia Vera is a rare disorder that is highly complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Essential Thrombocythemia,79,Cancer,0.3,Essential Thrombocythemia is a rare disorder that is extremely complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Ewing Sarcoma,86,Cancer,0.2,Ewing Sarcoma is a rare disorder that is extremely complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Rhabdomyosarcoma,85,Cancer,0.2,Rhabdomyosarcoma is a rare disorder that is extremely complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Wilms Tumor,78,Cancer,0.2,Wilms Tumor is a rare disorder that is highly complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Neuroendocrine Tumors (NETs),75,Cancer,3.0,Neuroendocrine Tumors (NETs) is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Diffuse Intrinsic Pontine Glioma (DIPG),93,Cancer,0.2,Diffuse Intrinsic Pontine Glioma (DIPG) is a rare disorder that is extremely complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Desmoid Tumors,67,Cancer,0.2,Desmoid Tumors is a rare disorder that is highly complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Retinoblastoma,77,Cancer,0.2,Retinoblastoma is a rare disorder that is highly complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Anaplastic Thyroid Carcinoma,82,Cancer,0.2,Anaplastic Thyroid Carcinoma is a rare disorder that is extremely complex with many genetic mutations and cellular pathways involved and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Basal Cell Carcinoma,81,Cancer,1.0,Basal Cell Carcinoma is a disease that is extremely complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Cutaneous Squamous Cell Carcinoma,70,Cancer,1.0,Cutaneous Squamous Cell Carcinoma is a disease that is highly complex with many genetic mutations and cellular pathways involved and presents a moderate market opportunity as a niche area in need of better treatments.
Acute Coronary Syndrome,61,Cardiovascular,5.0,Acute Coronary Syndrome is a very common condition that is highly complex involving multiple organ systems and risk factors and has a very large market potential due to its high prevalence and unmet needs.
Myocardial Infarction,66,Cardiovascular,5.0,Myocardial Infarction is a very common condition that is highly complex involving multiple organ systems and risk factors and has a very large market potential due to its high prevalence and unmet needs.
Heart Failure,71,Cardiovascular,10.0,Heart Failure is a very common condition that is highly complex involving multiple organ systems and risk factors and has a very large market potential due to its high prevalence and unmet needs.
Atrial Fibrillation,47,Cardiovascular,3.0,Atrial Fibrillation is a common condition with moderate complexity involving multiple organ systems and risk factors and presents a moderate market opportunity as a niche area in need of better treatments.
Ischemic Stroke,56,Cardiovascular,5.0,Ischemic Stroke is a very common condition with moderate complexity involving multiple organ systems and risk factors and has a very large market potential due to its high prevalence and unmet needs.
Hypertension,69,Cardiovascular,10.0,Hypertension is a very common condition that is highly complex involving multiple organ systems and risk factors and has a very large market potential due to its high prevalence and unmet needs.
Hyperlipidemia,47,Cardiovascular,8.0,Hyperlipidemia is a very common condition with moderate complexity involving multiple organ systems and risk factors and has a very large market potential due to its high prevalence and unmet needs.
Peripheral Arterial Disease,65,Cardiovascular,2.0,Peripheral Arterial Disease is a common condition that is highly complex involving multiple organ systems and risk factors and presents a moderate market opportunity as a niche area in need of better treatments.
Pulmonary Arterial Hypertension (PAH),57,Respiratory,3.0,Pulmonary Arterial Hypertension (PAH) is a rare disorder with moderate complexity affecting the lungs and often involving inflammation or fibrosis and presents a moderate market opportunity as a niche area in need of better treatments.
Hypertrophic Cardiomyopathy,49,Cardiovascular,2.0,Hypertrophic Cardiomyopathy is a disease with moderate complexity involving multiple organ systems and risk factors and presents a moderate market opportunity as a niche area in need of better treatments.
Transthyretin Amyloid Cardiomyopathy,59,Cardiovascular,2.0,Transthyretin Amyloid Cardiomyopathy is a disease with moderate complexity involving multiple organ systems and risk factors and presents a moderate market opportunity as a niche area in need of better treatments.
Type 1 Diabetes,60,Diabetes,5.0,Type 1 Diabetes is a common condition that is highly complex with complex metabolic dysregulation and has a substantial market opportunity given the number of patients affected.
Type 2 Diabetes,54,Diabetes,30.0,Type 2 Diabetes is a very common condition that is moderately complex with complex metabolic dysregulation and has a very large market potential due to its high prevalence and unmet needs.
Gestational Diabetes,53,Diabetes,2.0,Gestational Diabetes is a common condition with moderate complexity with complex metabolic dysregulation and presents a moderate market opportunity as a niche area in need of better treatments.
Rheumatoid Arthritis,67,Autoimmune,12.0,Rheumatoid Arthritis is a common condition that is highly complex driven by a dysregulated immune system and has a very large market potential due to its high prevalence and unmet needs.
Systemic Lupus Erythematosus,80,Autoimmune,5.0,Systemic Lupus Erythematosus is a common condition that is extremely complex driven by a dysregulated immune system and has a substantial market opportunity given the number of patients affected.
Multiple Sclerosis,58,Autoimmune,8.0,Multiple Sclerosis is a common condition with moderate complexity driven by a dysregulated immune system and has a substantial market opportunity given the number of patients affected.
Psoriasis,78,Autoimmune,8.0,Psoriasis is a common condition that is highly complex driven by a dysregulated immune system and has a substantial market opportunity given the number of patients affected.
Crohn's Disease,63,Autoimmune,8.0,Crohn's Disease is a common condition that is highly complex driven by a dysregulated immune system and has a substantial market opportunity given the number of patients affected.
Ulcerative Colitis,69,Autoimmune,8.0,Ulcerative Colitis is a common condition that is highly complex driven by a dysregulated immune system and has a substantial market opportunity given the number of patients affected.
Ankylosing Spondylitis,69,Autoimmune,3.0,Ankylosing Spondylitis is a disease that is highly complex driven by a dysregulated immune system and presents a moderate market opportunity as a niche area in need of better treatments.
Psoriatic Arthritis,75,Autoimmune,5.0,Psoriatic Arthritis is a disease that is highly complex driven by a dysregulated immune system and has a substantial market opportunity given the number of patients affected.
Sjögren's Syndrome,66,Autoimmune,0.5,Sjögren's Syndrome is a rare disorder that is highly complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Myasthenia Gravis,71,Autoimmune,1.0,Myasthenia Gravis is a rare disorder that is highly complex driven by a dysregulated immune system and presents a moderate market opportunity as a niche area in need of better treatments.
Celiac Disease,47,Autoimmune,2.0,Celiac Disease is a common condition with moderate complexity driven by a dysregulated immune system and presents a moderate market opportunity as a niche area in need of better treatments.
Vitiligo,55,Autoimmune,1.0,Vitiligo is a disease with moderate complexity driven by a dysregulated immune system and presents a moderate market opportunity as a niche area in need of better treatments.
Alopecia Areata,52,Autoimmune,1.0,Alopecia Areata is a disease with moderate complexity driven by a dysregulated immune system and presents a moderate market opportunity as a niche area in need of better treatments.
Sarcoidosis,61,Autoimmune,0.5,Sarcoidosis is a rare disorder that is highly complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Systemic Sclerosis,64,Autoimmune,3.0,Systemic Sclerosis is a rare disorder that is highly complex driven by a dysregulated immune system and presents a moderate market opportunity as a niche area in need of better treatments.
Autoimmune Hepatitis,50,Autoimmune,0.5,Autoimmune Hepatitis is a rare disorder with moderate complexity driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Immune Thrombocytopenic Purpura (ITP),62,Autoimmune,0.5,Immune Thrombocytopenic Purpura (ITP) is a rare disorder that is highly complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Pemphigus Vulgaris,59,Autoimmune,0.3,Pemphigus Vulgaris is a rare disorder with moderate complexity driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Dermatomyositis,80,Autoimmune,0.5,Dermatomyositis is a rare disorder that is extremely complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
ANCA-Associated Vasculitis,78,Autoimmune,0.5,ANCA-Associated Vasculitis is a rare disorder that is extremely complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Juvenile Idiopathic Arthritis (JIA),66,Autoimmune,2.0,Juvenile Idiopathic Arthritis (JIA) is a disease that is highly complex driven by a dysregulated immune system and presents a moderate market opportunity as a niche area in need of better treatments.
Graves' Disease,47,Autoimmune,0.5,Graves' Disease is a disease with moderate complexity driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Hashimoto's Thyroiditis,50,Autoimmune,0.5,Hashimoto's Thyroiditis is a disease with moderate complexity driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Behçet's Disease,63,Autoimmune,0.5,Behçet's Disease is a rare disorder that is highly complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Primary Biliary Cholangitis (PBC),51,Autoimmune,0.5,Primary Biliary Cholangitis (PBC) is a rare disorder with moderate complexity driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
IgA Nephropathy,67,Autoimmune,0.5,IgA Nephropathy is a rare disorder that is highly complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Giant Cell Arteritis,79,Autoimmune,0.5,Giant Cell Arteritis is a rare disorder that is extremely complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Neuromyelitis Optica (NMO),81,Autoimmune,0.5,"Neuromyelitis Optica (NMO) is a rare disorder that is extremely complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need."
Uveitis (non-infectious),62,Autoimmune,0.5,Uveitis (non-infectious) is a rare disorder that is highly complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Cold Agglutinin Disease,83,Autoimmune,0.3,"Cold Agglutinin Disease is a rare disorder that is extremely complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need."
Guillain-Barré Syndrome (GBS),67,Autoimmune,0.5,Guillain-Barré Syndrome (GBS) is a rare disorder that is highly complex driven by a dysregulated immune system and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
HIV/AIDS,78,Infectious,12.0,HIV/AIDS is a very common condition that is highly complex involving host-pathogen interactions and has a very large market potential due to its high prevalence and unmet needs.
Tuberculosis,59,Infectious,1.0,Tuberculosis is a very common condition with moderate complexity involving host-pathogen interactions and presents a moderate market opportunity as a niche area in need of better treatments.
Malaria,68,Infectious,0.5,Malaria is a very common condition that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Influenza,65,Infectious,2.0,Influenza is a very common condition that is highly complex involving host-pathogen interactions and has a very large market potential due to its high prevalence and unmet needs.
COVID-19,81,Infectious,15.0,COVID-19 is a very common condition that is extremely complex involving host-pathogen interactions and has a very large market potential due to its high prevalence and unmet needs.
Hepatitis B,76,Infectious,5.0,Hepatitis B is a very common condition that is extremely complex involving host-pathogen interactions and has a substantial market opportunity given the number of patients affected.
Hepatitis C,52,Infectious,4.0,Hepatitis C is a common condition with moderate complexity involving host-pathogen interactions and has a substantial market opportunity given the number of patients affected.
Respiratory Syncytial Virus (RSV),50,Infectious,1.0,Respiratory Syncytial Virus (RSV) is a common condition with moderate complexity involving host-pathogen interactions and presents a moderate market opportunity as a niche area in need of better treatments.
Ebola Virus Disease,66,Infectious,0.1,Ebola Virus Disease is a rare disorder that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Dengue Fever,65,Infectious,0.5,Dengue Fever is a very common condition that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
MRSA Infection,58,Infectious,1.0,MRSA Infection is a disease with moderate complexity involving host-pathogen interactions and presents a moderate market opportunity as a niche area in need of better treatments.
Drug-resistant Gonorrhea,79,Infectious,0.2,Drug-resistant Gonorrhea is a rare disorder that is extremely complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Sepsis,84,Infectious,3.0,Sepsis is a common condition that is extremely complex involving host-pathogen interactions and has a substantial market opportunity given the number of patients affected.
Clostridioides difficile Infection,63,Infectious,0.5,Clostridioides difficile Infection is a common condition that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Chagas Disease,49,Infectious,0.1,Chagas Disease is a rare disorder with moderate complexity involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Leishmaniasis,56,Infectious,0.1,Leishmaniasis is a rare disorder with moderate complexity involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Schistosomiasis,66,Infectious,0.1,Schistosomiasis is a rare disorder that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
African Trypanosomiasis (Sleeping Sickness),48,Infectious,0.1,African Trypanosomiasis (Sleeping Sickness) is a rare disorder with moderate complexity involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Onchocerciasis (River Blindness),62,Infectious,0.1,Onchocerciasis (River Blindness) is a rare disorder that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Cytomegalovirus (CMV) Infection,66,Infectious,0.5,Cytomegalovirus (CMV) Infection is a disease that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Monkeypox,65,Infectious,0.2,Monkeypox is a rare disorder that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Nontuberculous Mycobacterial Infection (NTM),79,Infectious,0.3,Nontuberculous Mycobacterial Infection (NTM) is a rare disorder that is extremely complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Lyme Disease,49,Infectious,0.3,Lyme Disease is a disease with moderate complexity involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
West Nile Virus Infection,68,Infectious,0.1,West Nile Virus Infection is a rare disorder that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Nipah Virus Infection,69,Infectious,0.1,Nipah Virus Infection is a rare disorder that is highly complex involving host-pathogen interactions and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Alzheimer's Disease,93,Neurological/Psych,20.0,Alzheimer's Disease is a very common condition that is extremely complex involving complex brain and nervous system pathways and has a very large market potential due to its high prevalence and unmet needs.
Parkinson's Disease,77,Neurological/Psych,10.0,Parkinson's Disease is a common condition that is highly complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Amyotrophic Lateral Sclerosis (ALS),90,Neurological/Psych,3.0,Amyotrophic Lateral Sclerosis (ALS) is a rare disorder that is extremely complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Huntington's Disease,72,Neurological/Psych,2.0,Huntington's Disease is a rare disorder that is highly complex involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Epilepsy,56,Neurological/Psych,2.0,Epilepsy is a common condition with moderate complexity involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Spinal Cord Injury,79,Neurological/Psych,1.0,Spinal Cord Injury is a disease that is extremely complex involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Major Depressive Disorder,64,Neurological/Psych,10.0,Major Depressive Disorder is a very common condition that is highly complex involving complex brain and nervous system pathways and has a very large market potential due to its high prevalence and unmet needs.
Bipolar Disorder,66,Neurological/Psych,4.0,Bipolar Disorder is a common condition that is highly complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Schizophrenia,63,Neurological/Psych,8.0,Schizophrenia is a common condition that is highly complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Generalized Anxiety Disorder,68,Neurological/Psych,4.0,Generalized Anxiety Disorder is a common condition that is highly complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Post-Traumatic Stress Disorder (PTSD),56,Neurological/Psych,3.0,Post-Traumatic Stress Disorder (PTSD) is a common condition with moderate complexity involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Autism Spectrum Disorder,68,Neurological/Psych,5.0,Autism Spectrum Disorder is a common condition that is highly complex involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Attention-Deficit/Hyperactivity Disorder (ADHD),50,Neurological/Psych,5.0,Attention-Deficit/Hyperactivity Disorder (ADHD) is a common condition with moderate complexity involving complex brain and nervous system pathways and has a substantial market opportunity given the number of patients affected.
Frontotemporal Dementia,79,Neurological/Psych,2.0,Frontotemporal Dementia is a rare disorder that is extremely complex involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Lewy Body Dementia,65,Neurological/Psych,2.0,Lewy Body Dementia is a rare disorder that is highly complex involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Chronic Insomnia,67,Neurological/Psych,2.0,Chronic Insomnia is a common condition that is highly complex involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Narcolepsy,64,Neurological/Psych,2.0,Narcolepsy is a rare disorder that is highly complex involving complex brain and nervous system pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Tourette Syndrome,71,Neurological/Psych,0.5,Tourette Syndrome is a rare disorder that is highly complex involving complex brain and nervous system pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Obsessive-Compulsive Disorder (OCD),80,Neurological/Psych,0.5,Obsessive-Compulsive Disorder (OCD) is a disease that is extremely complex involving complex brain and nervous system pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
